country,year,migrant_numbers
Australia,2012,235993
Austria,2012,125605
Chile,2012,65247
Czechia,2012,28607
Denmark,2012,49592
Estonia,2012,1107
Finland,2012,23334
France,2012,151599
Greece,2012,17732
Hungary,2012,20340
Iceland,2012,2827
Ireland,2012,37200
Palastine,2012,16558
Italy,2012,321305
Korea,2012,300177
Latvia,2012,3666
Lithuania,2012,2486
Luxembourg,2012,19439
Mexico,2012,18153
Netherlands,2012,115678
New Zealand,2012,71719
Norway,2012,70012
Poland,2012,47131
Portugal,2012,38537
Slovak Republic,2012,2940
Slovenia,2012,12281
Sweden,2012,82597
Switzerland,2012,143783
Belgium,2012,116055
Canada,2012,257763
Germany,2012,965908
Japan,2012,303926
Spain,2012,272489
United States,2012,1031631
Australia,2013,244849
Austria,2013,135228
Belgium,2013,105529
Chile,2013,84352
Czechia,2013,27843
Denmark,2013,55953
Estonia,2013,1633
Finland,2013,23873
France,2013,249176
Greece,2013,31302
Hungary,2013,21250
Iceland,2013,3932
Ireland,2013,41000
Palastine,2013,16884
Italy,2013,279021
Korea,2013,360473
Latvia,2013,3525
Lithuania,2013,3036
Luxembourg,2013,19797
Mexico,2013,62990
Netherlands,2013,122321
New Zealand,2013,75405
Norway,2013,66934
Poland,2013,46614
Portugal,2013,33246
Slovak Republic,2013,2475
Slovenia,2013,11621
Sweden,2013,95361
Switzerland,2013,155401
Canada,2013,259034
Germany,2013,1108068
United States,2013,990553
Japan,2013,306742
Spain,2013,248350
Canada,2014,260283
France,2014,236915
Italy,2014,248360
Belgium,2014,106345
Netherlands,2014,139348
Australia,2014,233908
Switzerland,2014,152106
Austria,2014,154260
Sweden,2014,106100
Korea,2014,407063
Norway,2014,61429
Denmark,2014,64532
New Zealand,2014,90676
Czechia,2014,38490
Hungary,2014,26004
Poland,2014,31977
Finland,2014,23647
Luxembourg,2014,21024
Mexico,2014,43481
Chile,2014,83549
Estonia,2014,1347
Greece,2014,29510
Iceland,2014,4348
Ireland,2014,43700
Palastine,2014,24112
Latvia,2014,4501
Lithuania,2014,4766
Portugal,2014,35265
Slovak Republic,2014,2418
Slovenia,2014,11311
Germany,2014,1342529
Spain,2014,264485
Japan,2014,336525
United States,2014,1016518
Germany,2015,2016241
Canada,2015,271808
France,2015,240497
Italy,2015,250026
Belgium,2015,128762
Netherlands,2015,159483
Switzerland,2015,150432
Australia,2015,223654
Austria,2015,198658
Korea,2015,372935
Sweden,2015,113868
Norway,2015,59068
Denmark,2015,75369
Poland,2015,86087
New Zealand,2015,101514
Finland,2015,21414
Hungary,2015,25787
Luxembourg,2015,22608
Czechia,2015,31589
Mexico,2015,34406
Chile,2015,101911
Colombia,2015,5700
Costa Rica,2015,15698
Estonia,2015,7370
Greece,2015,33986
Iceland,2015,4963
Ireland,2015,49300
Palastine,2015,27908
Latvia,2015,4505
Lithuania,2015,3747
Portugal,2015,37851
Slovak Republic,2015,3774
Slovenia,2015,12665
Spain,2015,290005
United States,2015,1051031
Japan,2015,391160
Colombia,2016,8300
Costa Rica,2016,6580
Estonia,2016,7693
Greece,2016,86120
Iceland,2016,7859
Ireland,2016,53900
Palastine,2016,25977
Latvia,2016,3448
Lithuania,2016,5955
Portugal,2016,46921
Slovak Republic,2016,3610
Slovenia,2016,13760
Chile,2016,135490
Mexico,2016,35906
